Location,Prices_per_year (₦ or $),Bedrooms,Baths,Toilets
Ikoyi Lagos,"₦ 30,000,000",4.0,4.0,4.0
Eko Atlantic City Eko Atlantic Victoria Island Lagos,"$ 65,000",3.0,3.0,4.0
Diamond Brick Homes Chevron Lekki Lagos,"₦ 1,600,000",1.0,1.0,1.0
Royal Pine Estate Orchid Chevron Lekki Lagos,"₦ 1,500,000",1.0,1.0,1.0
Banana Island Ikoyi Lagos,"₦ 20,000,000",3.0,3.0,4.0
Ikoyi Lagos,"₦ 30,000,000",4.0,4.0,5.0
Jakande Axis Ikate Lekki Lagos,"₦ 5,500,000",3.0,3.0,4.0
Banana Island Ikoyi Lagos,"₦ 18,000,000",3.0,3.0,4.0
Victoria Island Lagos,"₦ 12,000,000",3.0,3.0,4.0
Banana Island Ikoyi Lagos,"₦ 20,000,000",3.0,3.0,4.0
Ikoyi Lagos,"₦ 600,000,000",5.0,5.0,6.0
Ikate Lekki Lagos,"₦ 10,000,000",2.0,2.0,3.0
Ikoyi Lagos,"$ 25,000,000",3.0,3.0,4.0
Ikate Lekki Lagos,"₦ 6,000,000",2.0,2.0,3.0
Ikate Lekki Lagos,"₦ 11,000,000",2.0,2.0,3.0
Ikoyi Lagos,"₦ 18,000,000",3.0,3.0,4.0
Ikate Lekki Lagos,"₦ 5,500,000",2.0,2.0,3.0
Ikate Lekki Lagos,"₦ 6,500,000",2.0,2.0,3.0
Banana Island Banana Island Ikoyi Lagos,"₦ 60,000,000",4.0,4.0,5.0
Ikate Ilasan Lekki Lagos,"₦ 1,700,000",1.0,1.0,2.0
Atlantic View Estate Igbo Efon Lekki Lagos,"₦ 3,000,000",3.0,3.0,4.0
Amuwo Odofin Lagos,"₦ 2,500,000",2.0,0.0,0.0
Banana Island Estate Ikoyi Lagos,"₦ 15,000,000",3.0,3.0,4.0
Ago Palace Okota Lagos,"₦ 1,500,000",4.0,0.0,0.0
Amuwo Odofin Lagos,"₦ 3,000,000",2.0,2.0,3.0
Ago Palace Okota Lagos,"₦ 1,200,000",2.0,0.0,0.0
Bucknor Isolo Lagos,"₦ 700,000",1.0,1.0,1.0
Aguda Surulere Lagos,"₦ 2,500,000",3.0,0.0,0.0
Amuwo Odofin Lagos,"₦ 2,000,000",3.0,0.0,0.0
